Category,Item,Q2 95,Q3 95,Q4 95,Q1 96,Q2 96,Q3 96,Q4 96,Q1 97,Q2 97,Q3 97,Q4 97,Q1 98,Q2 98,Q3 98,Q4 98,Q1 29,Q2 29,Q3 29,Q4 29,Q1 30
,EffectiveDemand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Product ID,Attribute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21A,Yielded Supply,0.0,3380628047.9689984,3599861958.4228745,4838412160.017458,3199247967.379764,3355092931.50488,2551224925.734968,1042103765.7402064,1485795167.5735295,1479607370.591616,1660511746.6613762,2279395138.478976,2113724815.1308796,1966144929.38976,1912825744.863936,1136433129.37056,0.0,0.0,0.0,0.0
21A,Safety Stock Target,0.0,625070185.6409642,501270722.4663727,440409887.94035465,904460433.312941,366766838.25460577,121551139.1789691,191197422.02502877,189273384.4589508,194473505.6204271,297808459.5702216,276870259.0944158,252714685.00523376,247216598.90664497,353166569.8666357,0.0,0.0,0.0,0.0,0.0
21A,Safety Stock Target (WOS),0.0,1.673,1.673,1.673,1.673,1.673,1.6730000000000005,1.673,1.6730000000000005,1.673,1.673,1.673,1.673,1.673,1.673,0.0,0.0,0.0,0.0,0.0
21A,EffectiveDemand,0.0,3920865476.2527657,4857090504.084001,3895110216.415329,3422192793.3201494,7028084658.140007,2849951522.6000447,944509748.5514634,1485694253.631425,1470743573.2016497,1511150970.152751,2314112357.688512,2151412652.855592,1963712435.7848408,1920989710.5716584,2744271015.1023693,1477684392.7474298,0.0,0.0,0.0
21A,Total Projected Inventory Balance,201910284.8,-338327143.48376703,-1595555689.1448932,-652253745.5427637,-875198571.483149,-4548190298.118277,-4846916894.983353,-4749322877.794609,-4749221963.852505,-4740358166.462539,-4590997389.953914,-4625714609.16345,-4663402446.888163,-4660969953.283243,-4669133918.990967,-6276971804.722776,-7754656197.470206,-7754656197.470206,-7754656197.470206,-7754656197.470206
21A,Inventory Balance in excess of SST,0.0,-963397329.1247312,-2096826411.6112657,-1092663633.4831183,-1779659004.79609,-4914957136.372882,-4968468034.162322,-4940520299.819638,-4938495348.311456,-4934831672.082966,-4888805849.524136,-4902584868.257866,-4916117131.893396,-4908186552.189888,-5022300488.857602,-6276971804.722776,-7754656197.470206,-7754656197.470206,-7754656197.470206,-7754656197.470206
22B,Yielded Supply,0.0,1694268282.3394976,2286054043.2818155,1846162885.6279528,1214593823.7213082,1360563244.1053872,1556089469.2018735,1451657400.0206215,1310275441.163455,1147304217.472392,962119340.6639518,733386409.0338471,223366013.6414584,181484886.08368495,181484886.08368492,59830182.22539065,0.0,0.0,0.0,0.0
22B,Safety Stock Target,0.0,149119215.12965816,396739587.2068459,213027450.185226,228154867.3361104,272551315.15328914,235712126.7930976,228618627.10814825,203069711.7995721,169041931.49319857,145858376.3124611,37348231.427510895,29466118.228894003,20702458.79896478,20702458.79896476,0.0,0.0,0.0,0.0,0.0
22B,Safety Stock Target (WOS),0.0,1.561,1.5609999999999995,1.561,1.5610000000000002,1.5609999999999995,1.561,1.5609999999999995,1.561,1.561,1.561,1.561,1.561,1.561,1.5610000000000002,0.0,0.0,0.0,0.0,0.0
22B,EffectiveDemand,0.0,1541047872.0,2358376697.6000004,2312831674.299999,1241864059.3757567,2660101592.2595825,1588864169.055049,1479807074.0373838,1332754328.4331512,1183814463.4055777,985446237.4042968,850295467.2923743,217725115.9451308,171775577.11911303,120686979.5455346,172409970.77933496,92836138.1119496,0.0,0.0,0.0
22B,Total Projected Inventory Balance,164824302.72,388683699.9394977,316361045.6213129,-150307743.05073342,-177577978.70518196,-147065530.72958618,-179840230.58276173,-207989904.599524,-230468791.8692201,-266979037.8024056,-290305934.5427506,-407214992.8012778,-401574095.1049501,-391864786.14037824,-331066879.60222787,-443646668.15617216,-536482806.2681218,-536482806.2681218,-536482806.2681218,-536482806.2681218
22B,Inventory Balance in excess of SST,0.0,-15868610.494963644,-80378541.58553304,-363335193.2359594,-405732846.0412923,-419616845.8828754,-415552357.37585926,-436608531.7076722,-433538503.6687923,-436020969.29560417,-436164310.8552117,-444563224.2287887,-431040213.3338441,-412567244.93934304,-351769338.4011926,-443646668.15617216,-536482806.2681218,-536482806.2681218,-536482806.2681218,-536482806.2681218
23C,Yielded Supply,0.0,6610182393.901104,5408396276.498146,5759631737.538146,7373632288.453939,7188604865.419259,5486841555.132085,3896889854.302082,3743332245.413844,4203598493.7855616,4437687547.728325,4015519976.85381,4401090546.933123,4000063445.2184935,2415476665.6359715,997501016.2947248,0.0,0.0,0.0,0.0
23C,Safety Stock Target,0.0,1044829519.5152656,947758578.0083736,1255316127.5691347,1505515703.428649,1245147107.3478353,950490474.8088772,557841858.418099,423382482.23913056,329349303.42925304,299385627.2526903,295325594.98422664,303687636.2484366,226764404.2723092,206098486.8323092,0.0,0.0,0.0,0.0,0.0
23C,Safety Stock Target (WOS),0.0,1.47,1.47,1.82,1.8200000000000005,1.8200000000000005,1.82,1.8200000000000005,1.82,1.82,1.8200000000000005,1.82,1.8200000000000005,1.8200000000000005,1.82,0.0,0.0,0.0,0.0,0.0
23C,EffectiveDemand,0.0,4705495605.907281,6467992263.665929,5867076911.480407,6276580637.845675,15055157034.286486,6225735536.739175,5118025633.586262,2789209292.090495,2116912411.1956527,1646746517.1462653,1496928136.263451,1476627974.921133,1518438181.242183,1133822021.3615458,1472132048.8022084,792686487.8165739,0.0,0.0,0.0
23C,Total Projected Inventory Balance,306887266.55999994,2927644343.1938224,1868048356.0260391,1760603182.0837786,2857654832.692042,2518681180.968058,1779787199.3609684,558651420.076789,1512774373.4001374,3599460455.990045,6390401486.572104,8908993327.162462,11833455899.17445,14315081163.15076,15596735807.425186,15122104774.917704,14329418287.10113,14329418287.10113,14329418287.10113,14329418287.10113
23C,Inventory Balance in excess of SST,0.0,1882814823.678557,920289778.0176656,505287054.5146437,1352139129.2633927,1273534073.6202223,829296724.5520908,809561.6586900711,1089391891.161007,3270111152.560794,6091015859.319415,8613667732.178236,11529768262.926014,14088316758.878452,15390637320.592878,15122104774.917704,14329418287.10113,14329418287.10113,14329418287.10113,14329418287.10113
